School Year,School District,BEDS Code,School Name,Local School Code,School Type,Part B,Lowest Grade,Highest Grade,Does this school serve its full planned grade span? (Y/N),"If no, is this school opening this school year? (Y/N)",Is the school scheduled to close? (Y/N),"If so, what year?",K-12 Enrollment,Pre-K Enrollment,Preschool Special Ed Enrollment,K-12 FRPL Count,K-12 ELL Count,K-12 SWD Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Paraprofessional Classroom Staff,Principals & Other Admin Staff,Pupil Support Services Staff, All Remaining Staff , Total Staff , Part C , Classroom Teachers , All Other Salaries , Employee Benefits , BOCES Services , All Other , Total Allocation by Object , Grades K-12 , Pre-K , Grades K- 12 , Preschool , School Administration , Instructional Media , Pupil Support Services , Total Allocation by Purpose , State & Local Funding , Federal Funding , Total Funding Source by School , State & Local Funding per Pupil , Federal Funding per Pupil , Central District Costs , Total School Allocation w/ Central District Costs , Total School Funding per Pupil , Part D , Does this school offer a Pre-K program? (Y/N) , Does this school offer student/family support or community schools services? (Y/N) , 4-Year-Old Full-Day , 4-Year-Old Half-Day , 3-Year-Old Full-Day , 3-Year-Old Half-Day , Total Pre-K Enrollment , State Grants , Other State & Local Funding , Federal Funding  , Total Pre-K Spending , Community Schools Site Coordinator (FTE Basis) , Enriched Academic Services ," Health, Mental Health/Counseling, Dental Care ", Nutrition Services , Legal Services , After-School Programs/Extended Day Programs , All Other  , Total Community Schools Spending , Foundation Aid Community Schools Set-Aside , Other State & Local Funding  , Federal Funding   , Part E ,Local Formula Allocation, Allocation If Local Formula Fully Funded ,Difference,% Funded, Total Funding (See Part C) ,Local Formula as % of Total Funding, Other Funding 
2017-18,New York City,(blank),Flushing YABC,Q467,Senior High School,Part B,9,12,Yes,,No,,280,0,0,183,40,2,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,32,079.00 "," 4,45,729.97 ", -   ," 63,617.00 "," 12,41,425.97 "," 8,06,384.70 ", -   ," 28,148.53 ", -   ," 2,12,682.59 "," 1,339.00 "," 1,92,871.15 "," 12,41,425.97 "," 12,29,059.97 "," 12,366.00 "," 12,41,425.97 "," 4,389.50 ", 44.16 ," 18,68,719.88 "," 31,10,145.84 "," 11,107.66 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,41,425.97 ",0.0000%," 12,41,425.97 "
2017-18,New York City,(blank),New Rikers Island School,Q344,Junior-Senior High School,Part B,6,12,Yes,,No,,330,0,0,231,34,77,6.0,56.0,9.0,5.0,15.0,24.1,115.1,Part C," 47,26,280.00 "," 40,78,279.00 "," 53,60,699.84 ", -   ," 76,388.00 "," 1,42,41,646.84 "," 1,09,92,154.70 ", -   ," 10,72,247.16 ", -   ," 10,71,828.86 "," 1,962.00 "," 11,03,454.12 "," 1,42,41,646.84 "," 1,42,41,646.84 ", -   ," 1,42,41,646.84 "," 43,156.51 ", -   ," 22,02,419.86 "," 1,64,44,066.70 "," 49,830.51 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 1,42,41,646.84 ",0.0000%," 1,42,41,646.84 "
2017-18,New York City,(blank),Pre-K Center District 31,RP31,Pre-K Only,Part B,Other,Other,Yes,,No,,0,177,0,0,0,0,10.0,10.0,17.8,1.0,0.9,1.0,40.7,Part C," 20,49,242.00 "," 25,56,828.00 "," 28,04,428.79 ", -   ," 58,666.00 "," 74,69,164.79 ", -   ," 66,05,677.53 ", -   ," 8,63,487.26 ", -   , -   , -   ," 74,69,164.79 "," 74,69,164.79 ", -   ," 74,69,164.79 "," 43,174.36 ", -   ," 11,54,601.92 "," 86,23,766.71 "," 49,848.36 ", Part D ,Yes,No, 153.00 , -   , -   , - , 153 ," 15,30,000 "," 50,75,678 ", -   ," 66,05,677.53 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 74,69,164.79 ",0.0000%," 74,69,164.79 "
2017-18,New York City,(blank),Herbert H. Lehman YABC,X408,Senior High School,Part B,9,12,Yes,,No,,253,0,0,177,20,5,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,38,085.00 "," 4,49,386.75 ", -   ," 49,336.00 "," 12,36,807.75 "," 8,77,829.93 ", -   ," 49,062.03 ", -   ," 2,36,178.31 "," 1,339.00 "," 72,398.48 "," 12,36,807.75 "," 12,36,807.75 ", -   ," 12,36,807.75 "," 4,888.57 ", -   ," 16,88,521.89 "," 29,25,329.64 "," 11,562.57 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,36,807.75 ",0.0000%," 12,36,807.75 "
2017-18,New York City,(blank),Pre-K Center District 11,XP11,Pre-K Only,Part B,Other,Other,Yes,,No,,0,139,0,0,0,0,7.5,6.0,9.0,1.0,0.0,1.0,24.5,Part C," 8,66,987.00 "," 3,04,324.00 "," 7,13,158.57 ", -   , 495.00 ," 18,84,964.57 ", -   ," 18,36,004.45 ", -   ," 48,960.12 ", -   , -   , -   ," 18,84,964.57 "," 18,84,964.57 ", -   ," 18,84,964.57 "," 24,480.06 ", -   ," 5,13,897.97 "," 23,98,862.53 "," 31,154.06 ", Part D ,Yes,No, 75.00 , -   , -   , - , 75 ," 7,50,000 "," 10,86,004 ", -   ," 18,36,004.45 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 18,84,964.57 ",0.0000%," 18,84,964.57 "
2017-18,New York City,(blank),John Adams YABC,Q487,Senior High School,Part B,9,12,Yes,,No,,165,0,0,88,20,0,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,25,214.00 "," 4,41,550.18 ", -   ," 60,824.00 "," 12,27,588.18 "," 7,46,472.52 ", -   ," 60,325.63 ", -   ," 1,86,850.81 "," 1,339.00 "," 2,32,600.21 "," 12,27,588.18 "," 12,27,588.18 ", -   ," 12,27,588.18 "," 7,439.93 ", -   ," 11,01,209.93 "," 23,28,798.10 "," 14,113.93 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,27,588.18 ",0.0000%," 12,27,588.18 "
2017-18,New York City,(blank),Staten Island YABC,R607,Senior High School,Part B,9,12,Yes,,No,,205,0,0,121,10,4,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,09,775.00 "," 4,32,150.06 ", -   ," 1,06,879.00 "," 12,48,804.06 "," 9,81,793.23 ", -   ," 4,020.53 ", -   ," 2,19,821.08 "," 1,339.00 "," 41,830.23 "," 12,48,804.06 "," 12,48,804.06 ", -   ," 12,48,804.06 "," 6,091.73 ", -   ," 13,68,169.91 "," 26,16,973.97 "," 12,765.73 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,48,804.06 ",0.0000%," 12,48,804.06 "
2017-18,New York City,(blank),Pre-K Center District 29,QP29,Pre-K Only,Part B,Other,Other,Yes,,No,,0,172,3,0,0,0,8.0,11.0,13.0,1.0,0.0,0.5,33.5,Part C," 15,76,340.00 "," 17,65,011.00 "," 20,34,398.29 ", -   ," 1,34,128.00 "," 55,09,877.29 ", -   ," 52,99,308.73 ", -   ," 2,10,568.56 ", -   , -   , -   ," 55,09,877.29 "," 55,09,877.29 ", -   ," 55,09,877.29 "," 35,094.76 ", -   ," 10,47,817.93 "," 65,57,695.22 "," 41,768.76 ", Part D ,Yes,No, 151.00 , -   , -   , - , 151 ," 15,10,000 "," 37,89,309 ", -   ," 52,99,308.73 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 55,09,877.29 ",0.0000%," 55,09,877.29 "
2017-18,New York City,(blank),HS Arts & Business YABC,Q457,Senior High School,Part B,9,12,Yes,,No,,239,0,0,161,37,1,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,75,812.00 "," 4,72,357.02 ", -   ," 32,009.00 "," 12,80,178.02 "," 9,36,378.14 ", -   ," 10,053.73 ", -   ," 2,19,821.08 "," 1,339.00 "," 1,12,586.06 "," 12,80,178.02 "," 12,67,812.02 "," 12,366.00 "," 12,80,178.02 "," 5,304.65 ", 51.74 ," 15,95,085.90 "," 28,75,263.92 "," 12,030.39 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,80,178.02 ",0.0000%," 12,80,178.02 "
2017-18,New York City,(blank),Pathways to Graduation,Q950,Senior High School,Part B,10,10,Yes,,No,,"3,528",0,0,"2,432",473,182,15.6,218.0,66.9,21.0,63.4,91.9,476.8,Part C," 2,43,68,625.00 "," 1,96,65,816.00 "," 2,68,10,589.93 ", -   ," 13,59,003.00 "," 7,22,04,033.93 "," 5,63,95,309.48 ", -   ," 11,68,876.60 ", -   ," 48,05,439.15 "," 25,490.00 "," 98,08,918.70 "," 7,22,04,033.93 "," 7,22,04,033.93 ", -   ," 7,22,04,033.93 "," 20,466.00 ", -   ," 2,35,45,870.47 "," 9,57,49,904.40 "," 27,140.00 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 7,22,04,033.93 ",0.0000%," 7,22,04,033.93 "
